Country,Continent,CorruptionControl,GovEffectiveness,PoliticalStability,RegulatoryQuality,RuleLaw,VoiceAccountability
"Congo, Rep.",Africa,-1.2073587179184,-1.09565854072571,-0.565750539302826,-1.16558682918549,-1.0424622297287,-1.16012322902679
Costa Rica,North America,0.702415406703949,0.355204492807388,0.745057940483093,0.407434463500977,0.463711827993393,1.13541793823242
Cote d'Ivoire,Africa,-0.539604365825653,-0.667884647846222,-0.902376532554626,-0.364921480417252,-0.671491086483002,-0.283677577972412
Croatia,Europe,0.194178506731987,0.485255539417267,0.675161302089691,0.356151878833771,0.436544716358185,0.517940163612366
Cuba,North America,0.0531746968626976,-0.126500129699707,0.61955463886261,-1.33886408805847,-0.412079066038132,-1.62855112552643
Cyprus,Europe,0.822477400302887,0.978731870651245,0.574111521244049,1.05264961719513,0.727526187896729,1.07931506633759
Czech Republic,Europe,0.506166696548462,1.05800712108612,0.991675138473511,0.986398041248322,1.09284007549286,1.04701995849609
Denmark,Europe,2.24314141273499,1.88756537437439,0.847919702529907,1.57545983791351,1.89595913887024,1.4742192029953
Djibouti,Africa,-0.65062415599823,-0.973534286022186,-0.627737700939178,-0.699908792972565,-0.971201181411743,-1.31999456882477
Dominica,North America,0.626674950122833,0.0487849675118923,1.12875509262085,0.198957994580269,0.606004953384399,0.985765337944031
Dominican Republic,North America,-0.7767014503479,-0.249271780252457,0.290499001741409,-0.0652390867471695,-0.288497149944305,0.187346532940865
Ecuador,South America,-0.672770023345947,-0.431753009557724,-0.0995833426713943,-1.0185307264328,-0.693616449832916,-0.246067106723785
"Egypt, Arab Rep.",Africa,-0.629355072975159,-0.65772408246994,-1.41919279098511,-0.923167943954468,-0.409539669752121,-1.2259566783905
El Salvador,North America,-0.566049516201019,-0.278847932815552,-0.0596209578216076,0.0938996374607086,-0.707341551780701,0.278267502784729
Equatorial Guinea,Africa,-1.81344020366669,-1.40900480747223,-0.192911937832832,-1.38016593456268,-1.43647027015686,-1.9259557723999
Eritrea,Africa,-1.13186073303223,-1.6850414276123,-0.881781041622162,-2.18672680854797,-1.52739346027374,-2.09683918952942
Estonia,Europe,1.2138659954071,1.11569678783417,0.692293524742126,1.69809412956238,1.24409341812134,1.20156860351563
Ethiopia,Africa,-0.438951551914215,-0.639099538326263,-1.56897592544556,-1.10137295722961,-0.393549561500549,-1.44630408287048
Fiji,Oceania,0.134271144866943,-0.26369446516037,0.830223858356476,-0.377137929201126,-0.294661819934845,-0.0274359751492739
Finland,Europe,2.28306245803833,1.84847295284271,0.961734354496002,1.81747925281525,2.01779341697693,1.48552823066711
France,Europe,1.36619985103607,1.40662443637848,-0.0641244873404503,1.07024955749512,1.40667223930359,1.07647240161896
French Guiana,South America,0.979321837425232,1.13786005973816,0.555143654346466,1.42886531352997,1.32630205154419,1.26906669139862
Gabon,Africa,-0.749289095401764,-0.790056109428406,-0.0678350031375885,-0.797914206981659,-0.58434921503067,-0.964300215244293
