Date,F1 : Thermique non renouvelable,F2 : Bioénergies,F3 : Hydraulique,F4 : Eolien,F5 : Solaire,F6 : Autres
20180527,148900762.0,14414167534.0,19148863017.0,35365815882.0,25945922477.0,542832.0
20180528,156836649.0,13824837867.0,18755809975.0,21685538547.0,18385294618.0,151922304.0
20180529,156741487.0,13723730699.0,20067167952.0,19142128545.0,26656103262.0,542832.0
20180530,147442990.0,14471815196.0,20559314733.0,14154029880.0,22753439967.0,673968.0
20180531,138049654.0,14594455029.0,21337491071.0,17016289881.0,25180775703.0,1309824.0
20180601,161858657.0,14726187034.0,22159388545.0,18236249381.0,34270649820.0,534096.0
20180602,454720484.0,15244341699.0,21555566722.0,10227628047.0,36272757294.0,534096.0
20180603,261050490.0,14613880195.0,21033940428.0,27857527718.0,28157842726.0,534096.0
20180604,259221568.0,14134046865.0,21293178416.0,29892291215.0,27174517877.0,15321744.0
20180605,289909895.0,13952696531.0,21024365950.0,37250561449.0,23365154310.0,57539904.0
20180606,154162402.0,13965632699.0,21018528687.0,26811814706.0,24329420318.0,33842784.0
20180607,156396402.0,14498784034.0,21321582183.0,8928206035.0,26749381765.0,28768272.0
20180608,162261569.0,14918132368.0,22165739011.0,13092298201.0,34280022381.0,31026096.0
20180609,431541235.0,15360523199.0,22358559113.0,17268057242.0,34974677848.0,28277616.0
20180610,255804398.0,14883129699.0,21630953649.0,16168269743.0,27013427785.0,28277616.0
20180611,256794643.0,14627930866.0,21001383947.0,36299380238.0,19803247347.0,43064112.0
20180612,278236479.0,14309819865.0,20496852456.0,57577632190.0,27436559977.0,51613248.0
20180613,146558138.0,14655815871.0,19269016488.0,43535087355.0,31191222891.0,39654768.0
20180614,180201471.0,14883983537.0,19521811414.0,43479703023.0,35676037772.0,38193072.0
20180615,149302974.0,15228607703.0,20422157378.0,22873241957.0,29287742503.0,40773264.0
20180616,424806972.0,15151198867.0,20724822026.0,32064506289.0,33671995360.0,28277616.0
20180617,287828140.0,14676991699.0,20390787365.0,46150105290.0,31546201715.0,28277616.0
20180618,254758333.0,14236294368.0,20016657307.0,47869785790.0,32400836764.0,31561104.0
20180619,302626341.0,14488123629.0,19394780421.0,24297272958.0,40980564371.0,33287280.0
20180620,236979673.0,14152732116.0,18913365682.0,17486421602.0,44674256451.0,32269920.0
20180621,262838503.0,14491112286.0,18451308049.0,71183205602.0,40401333607.0,28277616.0
20180622,228166508.0,14648258616.0,18133589440.0,73275592202.0,46128575714.0,28277616.0
20180623,209378834.0,14867391949.0,17697482657.0,43342775059.0,45967371280.0,28277616.0
20180624,206879172.0,14657765783.0,17166958148.0,36937555887.0,39457658284.0,28277616.0
20180625,227176790.0,14034701617.0,16704312225.0,50820412855.0,46119757623.0,28277760.0
20180626,290912290.0,13835431284.0,16594397101.0,46101985686.0,45973934044.0,31539600.0
20180627,261229295.0,13977711615.0,16325916557.0,54167567848.0,43959816937.0,28328448.0
20180628,287226124.0,13869567618.0,16102687781.0,87392681515.0,42653712215.0,28720080.0
20180629,287241456.0,14171585783.0,15886653686.0,78402833682.0,42612972422.0,28859904.0
20180630,219488626.0,13757785701.0,15408739085.0,43817093034.0,45416766249.0,27853536.0
20180701,201581968.0,13144393743.0,14522510898.0,52957911771.0,43117312471.0,118080.0
20180702,188436693.0,13144561574.0,14315760306.0,38328914108.0,37989805682.0,117264.0
20180703,180526525.0,13944579744.0,14461503340.0,18976134940.0,36539364392.0,3692112.0
20180704,172872357.0,14022187302.0,14183602935.0,19922811272.0,36620147455.0,9466944.0
20180705,204288527.0,14543932635.0,14733048870.0,29375553273.0,32340168118.0,4430112.0
20180706,160279697.0,15238963802.0,14985524407.0,23384892440.0,35844972877.0,6775104.0
20180707,183448527.0,15404494470.0,14197956284.0,24364644105.0,43369547980.0,116784.0
20180708,215500194.0,14967050964.0,13358537455.0,42279238104.0,44181481046.0,117792.0
20180709,213736883.0,14834624131.0,12958443872.0,57756482274.0,42955503695.0,116784.0
20180710,230531213.0,15151814134.0,12672608828.0,52261229272.0,42283541887.0,1327584.0
20180711,228280215.0,15222545131.0,12664329767.0,34577623938.0,42046714786.0,6564432.0
20180712,223915550.0,15377137302.0,12416080334.0,23040299608.0,40643008392.0,116784.0
20180713,205169882.0,15409972303.0,12199293702.0,21042770938.0,41225776036.0,116784.0
20180714,169900387.0,15435284297.0,11601316517.0,19647955768.0,39665257692.0,116784.0
20180715,176062883.0,15345852801.0,10956434353.0,23419034268.0,41577636060.0,129792.0
20180716,164722484.0,14801243131.0,11168153862.0,28885447269.0,28705302625.0,1436112.0
20180717,199565482.0,14852486634.0,11740290422.0,35613532937.0,37594494976.0,2464080.0
20180718,166777150.0,14870250299.0,11137027822.0,19398331606.0,40431436671.0,7106112.0
20180719,205571651.0,14888546802.0,11171588175.0,31218313169.0,41243310321.0,2719104.0
20180720,181090652.0,14745267300.0,11009993835.0,24827389998.0,32525065563.0,3776112.0
20180721,146028983.0,15484437966.0,11530401291.0,22993235000.0,31611333382.0,116784.0
20180722,163895988.0,15337880466.0,10873379385.0,19791312333.0,36998554077.0,117120.0
20180723,189311027.0,14737800297.0,10710326773.0,17523631498.0,43659322571.0,116784.0
20180724,193955527.0,14909238800.0,10625116901.0,13701831168.0,39954598775.0,6651936.0
20180725,205702026.0,14681678967.0,10377787601.0,19634418167.0,42921109673.0,4813248.0
20180726,189624694.0,14361352965.0,10123688397.0,14472875833.0,42635982143.0,6719952.0
20180727,167105863.0,14633624468.0,10029653501.0,25488853001.0,36867894348.0,337104.0
20180728,183441531.0,15460798301.0,9675767559.0,62682355441.0,29492213466.0,52238784.0
20180729,245010694.0,15017223129.0,8843911527.0,70226284773.0,39019288570.0,31775424.0
20180730,231486217.0,14852851467.0,8724897683.0,42525211442.0,39117696030.0,11720928.0
20180731,182361555.0,14664234800.0,8698636202.0,23522971103.0,36411083625.0,19072416.0
20180801,212877716.0,14989673734.0,8664727206.0,19761705270.0,39873623167.0,30105168.0
20180802,219823050.0,14789705734.0,8430021645.0,28358170616.0,43177225230.0,44417856.0
20180803,215862215.0,14786783734.0,8409923507.0,36575113950.0,41958769256.0,45699840.0
20180804,227203717.0,14900613232.0,7811807784.0,47777902115.0,41470588729.0,55236672.0
20180805,207060718.0,14794643065.0,7286957382.0,41712450117.0,41070125534.0,60262992.0
20180806,166609679.0,14383907399.0,7341234387.0,17937163742.0,41240643636.0,41418528.0
20180807,258112842.0,13985167230.0,7263573749.0,45762402407.0,32677114384.0,28542528.0
20180808,301095347.0,14850687065.0,7860719580.0,46193227116.0,32355765138.0,65146656.0
20180809,206937675.0,14926224400.0,8421506289.0,84042843195.0,18350046578.0,140454192.0
20180810,257335347.0,15775145398.0,8864505690.0,60493314026.0,39242094694.0,32169696.0
20180811,192951679.0,16103688736.0,7747239545.0,22430131360.0,42718700462.0,11616672.0
20180812,195492345.0,15350142733.0,7207298198.0,42768006692.0,39581261848.0,48370032.0
20180813,212638885.0,14448476731.0,7886766970.0,68684684859.0,24881497044.0,115140000.0
20180814,211727883.0,15027196900.0,8663020511.0,39912515024.0,31769709839.0,38495520.0
20180815,169740551.0,15849567566.0,7913631693.0,21801595696.0,40521596897.0,6315168.0
20180816,173244053.0,15266939895.0,7865397567.0,21782718194.0,39456060593.0,12250512.0
20180817,180932387.0,15482013233.0,8198725437.0,45546880024.0,30555894922.0,66619824.0
20180818,187356718.0,15906765232.0,7891433160.0,29842653529.0,38951558482.0,34118352.0
20180819,187127383.0,15412204068.0,7036051398.0,29343126024.0,41535277903.0,4197840.0
20180820,171688433.0,14956518902.0,6742040079.0,22334466692.0,35989755925.0,9731520.0
20180821,167603394.0,14806265898.0,6764792254.0,13264172190.0,38335862142.0,27284352.0
20180822,192075265.0,14658277399.0,7211207808.0,15000079362.0,36598400437.0,40198848.0
20180823,190953378.0,14652520735.0,7184694051.0,34330869191.0,34074490035.0,46241856.0
20180824,210069134.0,15468960400.0,7497260119.0,69376762861.0,30201035116.0,48006192.0
20180825,151379950.0,16142417566.0,6594178595.0,55253596361.0,22773710452.0,57301344.0
20180826,217010172.0,15939672566.0,6144290615.0,60448915524.0,38828010390.0,22073856.0
20180827,202546639.0,15518526234.0,6253099821.0,61741249527.0,35572746553.0,81962832.0
20180828,177830047.0,15365178233.0,6460581587.0,19796577695.0,38267554286.0,38182656.0
20180829,196119236.0,15145691731.0,6852603029.0,64274431027.0,26008072240.0,150939792.0
20180830,201070399.0,15584761567.0,7132298321.0,22832179861.0,29707066165.0,26460480.0
20180831,154774434.0,15791490734.0,6734373638.0,23980313524.0,33417354518.0,35517792.0
20180901,175794847.0,15643778898.0,6050406222.0,33309393527.0,40502838331.0,394560.0
20180902,181824808.0,15838683737.0,5517318308.0,41325482359.0,40137060856.0,2784384.0
20180903,192690756.0,15581487067.0,5483336116.0,25900735196.0,37360345756.0,525552.0
20180904,195435902.0,15652706398.0,5738513331.0,23722916029.0,36051328004.0,618864.0
20180905,136161404.0,15860917901.0,5524113509.0,24441852359.0,28638464431.0,7257552.0
20180906,243409403.0,15858323401.0,6601292887.0,35031534028.0,20692103790.0,1770720.0
20180907,201763399.0,15854273067.0,6674644589.0,37681860693.0,33312162688.0,406896.0
20180908,165777359.0,15737165401.0,5809965234.0,12348595362.0,38007594369.0,5699712.0
20180909,125596211.0,15066053901.0,5312225997.0,18797814525.0,30273759793.0,12151200.0
20180910,193856958.0,14392082731.0,5676456897.0,28171586357.0,33839904458.0,16897200.0
20180911,201855388.0,14334735329.0,5510388875.0,28437389194.0,37454431254.0,18483360.0
20180912,221797377.0,14594055167.0,5531052733.0,21637239696.0,31630270632.0,52040064.0
20180913,188488503.0,14558609665.0,5793428170.0,29019867194.0,25178959999.0,40580880.0
20180914,179401863.0,14544965736.0,5854625972.0,26432924725.0,29862652892.0,32587056.0
20180915,208463381.0,14786369991.0,5453021104.0,20877467223.0,35817904145.0,33539040.0
20180916,153851743.0,14521291825.0,5108501424.0,20153509888.0,30527241912.0,41554704.0
20180917,190708945.0,13965031658.0,5103419872.0,27965135226.0,33412610823.0,38214864.0
20180918,293971180.0,13792197663.0,4989890608.0,71058545959.0,28467715966.0,122386704.0
20180919,279318250.0,13982547332.0,5212241340.0,50821135458.0,32518265032.0,31709040.0
20180920,322412096.0,14243504695.0,5183999038.0,64561476527.0,33907752673.0,39974736.0
20180921,317839613.0,14514986694.0,5203578324.0,140513333878.0,21438149321.0,162306192.0
20180922,245597145.0,14792693915.0,5120743927.0,67934889310.0,31398101271.0,36325392.0
20180923,276972468.0,14313552079.0,4756767650.0,155514008645.0,26967694561.0,212225712.0
20180924,224300342.0,13982114082.0,4948597388.0,68785972094.0,33148543244.0,60876192.0
20180925,216406080.0,14183959464.0,4641578494.0,78151771594.0,34360909386.0,123021552.0
20180926,341247839.0,14089331875.0,4700272622.0,38072295994.0,34625477521.0,68111376.0
20180927,285751149.0,14118716542.0,4780454501.0,16759289997.0,34631066873.0,24775056.0
20180928,284328531.0,13992409208.0,4940416337.0,72961624496.0,32439797229.0,61254720.0
20180929,225573867.0,14534050872.0,4564952306.0,85434334665.0,33365833505.0,71630880.0
20180930,168799096.0,14053765210.0,4414816033.0,32040639998.0,29068441117.0,13154736.0
20181001,217533662.0,13424118912.0,4497554366.0,93039237746.0,24407557781.0,64241136.0
20181002,318666801.0,13833330907.0,4300580884.0,83035028915.0,28538440942.0,60083616.0
20181003,294742705.0,13915194575.0,4255461308.0,39863259871.0,26808533056.0,43543152.0
